Serial No.,GREScore,TOEFLScore,UniversityRating,SOP,LOR,CGPA,Research,ChanceofAdmit
59,300,99,1,3,2,6.8,1,0.36
29,295,93,1,2,2,7.2,0,0.46
349,302,99,1,2,2,7.25,0,0.57
119,296,99,2,3,3.5,7.28,0,0.47
30,310,99,2,1.5,2,7.3,0,0.54
345,295,96,2,1.5,2,7.34,0,0.47
348,299,94,1,1,1,7.34,0,0.42
80,294,93,1,1.5,2,7.36,0,0.46
57,316,102,3,2,3,7.4,0,0.64
346,316,98,1,1.5,2,7.43,0,0.49
377,297,96,2,2.5,2,7.43,0,0.34
118,290,104,4,2,2.5,7.46,0,0.45
162,298,99,1,1.5,3,7.46,0,0.53
368,311,98,1,1,2.5,7.46,0,0.57
28,298,98,2,1.5,2.5,7.5,1,0.44
39,304,105,1,3,1.5,7.5,0,0.52
79,296,95,2,3,2,7.54,1,0.44
378,290,100,1,1.5,2,7.56,0,0.47
58,298,99,2,4,2,7.6,0,0.46
273,294,95,1,1.5,1.5,7.64,0,0.49
347,304,97,2,1.5,2,7.64,0,0.47
359,314,105,2,2.5,2,7.64,0,0.7
206,295,99,2,2.5,3,7.65,0,0.57
291,307,105,2,2.5,3,7.65,0,0.58
375,315,105,2,2,2.5,7.65,0,0.39
379,303,98,1,2,2.5,7.65,0,0.56
92,299,97,3,5,3.5,7.66,0,0.38
95,303,99,3,2,2.5,7.66,0,0.36
376,304,101,2,2,2.5,7.66,0,0.38
355,297,98,2,2.5,3,7.67,0,0.59
241,296,101,1,2.5,3,7.68,0,0.6
40,307,108,2,4,3.5,7.7,0,0.48
56,320,103,3,3,3,7.7,0,0.64
38,300,105,1,1,2,7.8,0,0.58
169,293,97,2,2,4,7.8,1,0.64
389,296,97,2,1.5,2,7.8,0,0.49
96,304,100,4,1.5,2.5,7.84,0,0.42
161,315,103,1,1.5,2,7.86,0,0.57
272,299,96,2,1.5,2,7.86,0,0.54
317,298,101,2,1.5,2,7.86,0,0.54
328,295,101,2,2.5,2,7.86,0,0.69
292,300,102,2,1.5,2,7.87,0,0.56
94,301,97,2,3,3,7.88,1,0.44
183,299,100,2,3,3.5,7.88,0,0.68
369,298,92,1,2,2,7.88,0,0.51
207,315,99,2,3.5,3,7.89,0,0.63
240,299,100,1,1.5,2,7.89,0,0.59
330,297,96,2,2.5,1.5,7.89,0,0.43
358,301,104,2,3.5,3.5,7.89,1,0.68
8,308,101,2,3,4,7.9,0,0.68
21,312,107,3,3,2,7.9,1,0.64
52,312,100,2,1.5,3.5,7.9,1,0.56
160,297,100,1,1.5,2,7.9,0,0.52
91,318,106,2,4,4,7.92,1,0.64
275,315,100,1,2,2.5,7.95,0,0.58
387,302,101,2,2.5,3.5,7.96,0,0.46
293,302,99,2,1,2,7.97,0,0.56
170,311,99,2,2.5,3,7.98,0,0.65
3,316,104,3,3,3.5,8,1,0.72
9,302,102,1,2,1.5,8,0,0.5
14,307,109,3,4,3,8,1,0.62
18,319,106,3,4,3,8,1,0.65
41,308,110,3,3.5,3,8,1,0.46
53,334,116,4,4,3,8,1,0.78
55,322,110,3,3,3.5,8,0,0.7
97,306,100,2,3,3,8,0,0.48
301,309,106,2,2.5,2.5,8,0,0.62
274,312,99,1,1,1.5,8.01,1,0.52
318,300,99,1,1,2.5,8.01,0,0.58
81,312,105,3,2,3,8.02,1,0.5
208,310,102,3,3.5,4,8.02,1,0.66
327,299,100,3,2,2,8.02,0,0.63
93,298,98,2,4,3,8.03,0,0.34
226,296,99,2,2.5,2.5,8.03,0,0.61
370,301,98,1,2,3,8.03,1,0.67
171,312,101,2,2.5,3.5,8.04,1,0.68
314,301,100,3,3.5,3,8.04,0,0.67
350,313,101,3,2.5,3,8.04,0,0.62
353,303,100,2,3,3.5,8.06,1,0.64
234,304,100,2,2.5,3.5,8.07,0,0.64
316,308,104,2,2.5,3,8.07,0,0.65
262,312,104,3,3.5,4,8.09,0,0.71
31,300,97,2,3,3,8.1,1,0.65
54,324,112,4,4,2.5,8.1,1,0.72
61,309,100,2,3,3,8.1,0,0.48
388,307,105,2,2,3.5,8.1,0,0.53
102,312,105,2,2.5,3,8.12,0,0.64
179,309,108,3,2.5,3,8.12,0,0.72
210,301,104,3,3.5,4,8.12,1,0.68
332,311,105,2,3,2,8.12,1,0.73
356,317,106,2,2,3.5,8.12,0,0.73
315,305,105,2,3,4,8.13,0,0.66
344,305,103,2,2.5,3.5,8.13,0,0.59
89,314,108,3,4.5,3.5,8.14,0,0.64
159,306,106,2,2,2.5,8.14,0,0.61
242,317,103,2,2.5,2,8.15,0,0.65
138,316,100,2,1.5,3,8.16,1,0.71
181,300,104,3,3.5,3,8.16,0,0.71
209,305,106,2,3,3,8.16,0,0.64
268,314,107,3,3,3.5,8.17,1,0.73
354,300,102,3,3.5,2.5,8.17,0,0.63
294,312,98,1,3.5,3,8.18,1,0.64
324,305,102,2,2,2.5,8.18,0,0.62
7,321,109,3,3,4,8.2,1,0.75
15,311,104,3,3.5,2,8.2,1,0.61
42,316,105,2,2.5,2.5,8.2,1,0.49
62,307,101,3,4,3,8.2,0,0.47
63,304,105,2,3,3,8.2,1,0.54
5,314,103,2,2,3,8.21,0,0.65
